feature_index,feature_name,control_mean,control_std,control_median,control_iqr,irbd_mean,irbd_std,irbd_median,irbd_iqr,mean_difference,median_difference,percent_change,control_normal,irbd_normal,control_shapiro_p,irbd_shapiro_p,test_type,test_statistic,p_value,p_value_corrected,is_significant,effect_size,effect_size_interpretation,is_large_effect,significant_and_large
979,Feature_0979,0.029397462,0.009042744,0.028347392,0.012846335303038359,0.05686626,0.021926872,0.054037362,0.02772947959601879,0.027468797,0.02568997,93.43935,True,True,0.8942306915214242,0.057084594855210835,Independent t-test,-7.50551071141045,5.87047438152193e-10,6.011365766678456e-07,True,1.6378366947174072,Large,True,True
323,Feature_0323,0.0040103383,0.0019423869,0.0041776784,0.00244301650673151,0.008514715,0.0038583977,0.008063534,0.004507685778662562,0.004504377,0.003885856,112.31912,True,True,0.11256922008700065,0.20468186068785932,Independent t-test,-6.757754320792321,6.233789954617029e-09,6.383400913527838e-06,True,1.4746628999710083,Large,True,True
249,Feature_0249,0.015555301,0.0069034584,0.015902447,0.008922426728531718,0.03053269,0.013270202,0.0291528,0.014091682154685259,0.014977389,0.013250353,96.2848,True,True,0.9815743871787043,0.3978860409172183,Independent t-test,-6.4889347106839175,1.6667987746591433e-08,1.7068019452509627e-05,True,1.4160016775131226,Large,True,True
466,Feature_0466,0.0035995063,0.0013515482,0.0033720948,0.002076344098895788,0.0063295756,0.0024667962,0.0059457133,0.0035353050334379077,0.0027300692,0.0025736184,75.84566,True,True,0.2660842865449754,0.4136001880956455,Independent t-test,-6.290158475036426,3.2842821610604873e-08,3.363104932925939e-05,True,1.3726251125335693,Large,True,True
391,Feature_0391,0.12943804,0.031623498,0.12964034,0.03715593181550503,0.17888433,0.04151442,0.17821011,0.052566587924957275,0.049446285,0.04856977,38.200737,True,True,0.233484703810783,0.29570843368796546,Independent t-test,-6.140379465978177,3.3953567355712365e-08,3.476845297224946e-05,True,1.3399406671524048,Large,True,True
961,Feature_0961,0.14834231,0.02679958,0.1457324,0.027025382965803146,0.19087414,0.036944795,0.18615207,0.0398835688829422,0.042531833,0.040419668,28.671412,True,True,0.4073632481568136,0.21813946965534803,Independent t-test,-6.039208080683165,5.546732987870486e-08,5.6798545795793774e-05,True,1.3178632259368896,Large,True,True
709,Feature_0709,0.01193205,0.0056682555,0.012602619,0.00757733010686934,0.022073131,0.010380714,0.02003104,0.013624142855405807,0.010141081,0.0074284216,84.99027,True,True,0.5541085062184681,0.19032005364597,Independent t-test,-5.556715017239354,5.828310039833224e-07,0.0005968189480789222,True,1.2125746011734009,Large,True,True
881,Feature_0881,2.6765797,0.24089618,2.6619773,0.23795121908187866,2.308058,0.36407518,2.354545,0.4456847310066223,-0.3685217,-0.30743217,-13.768381,True,True,0.15725939722871712,0.13251017655258923,Independent t-test,5.470752645560315,6.325131958800378e-07,0.0006476935125811587,True,-1.193816065788269,Large,True,True
743,Feature_0743,0.4336025,0.06616644,0.42256004,0.07013492286205292,0.34336716,0.084527306,0.34455648,0.10472539067268372,-0.09023535,-0.078003556,-20.810616,True,True,0.32354399913378373,0.9923681831974515,Independent t-test,5.447799944055778,5.819479467286376e-07,0.0005959146974501249,True,-1.188807487487793,Large,True,True
479,Feature_0479,1.9508438,0.19412321,1.9277942,0.22537392377853394,1.6879553,0.24591555,1.7429185,0.312934935092926,-0.26288855,-0.18487573,-13.475633,True,True,0.7483912035089639,0.052791840813372806,Independent t-test,5.437920591222612,6.015761082029912e-07,0.000616013934799863,True,-1.1866514682769775,Large,True,True
744,Feature_0744,0.074212745,0.026322074,0.07330859,0.02881789579987526,0.11182536,0.040461242,0.10552813,0.050178783014416695,0.037612617,0.032219544,50.68215,True,True,0.4526075297644462,0.06345813982932519,Independent t-test,-5.04990989575923,3.3339019034296407e-06,0.003413915549111952,True,1.1019805669784546,Large,True,True
314,Feature_0314,0.011295726,0.004325276,0.011074722,0.00555962766520679,0.017378865,0.0066993493,0.01608928,0.00886999093927443,0.006083139,0.0050145574,53.853462,True,True,0.8456108066624567,0.16523013194663955,Independent t-test,-4.943794439587258,5.036590264968494e-06,0.0051574684313277375,True,1.0788244009017944,Large,True,True
300,Feature_0300,5.1006966,0.46911603,5.0198936,0.6129045486450195,4.4849577,0.6700162,4.627689,0.8311917781829834,-0.61573887,-0.39220476,-12.071662,True,True,0.8357860403779098,0.23003438900800083,Independent t-test,4.878776172770328,6.026724571784838e-06,0.0061713659615076745,True,-1.0646361112594604,Large,True,True
